Country2000,US2000,China2000,Country2024,US2024,China2024
United Kingdom,"84,916","9,903",Uganda,239,"1,463"
Uruguay,850,344,Ukraine,"2,870","8,013"
Uzbekistan,199,51,United Arab Emirates,"34,444","101,785"
Vanuatu,2,2,United Kingdom,"148,026","98,354"
Venezuela,"24,173",351,Uruguay,"2,878","6,590"
Vietnam,"1,189","2,466",Uzbekistan,423,"13,785"
Yemen,445,912,Vanuatu,21,206
Wallis and Futuna,-,,Vatican City,1,
West Bank admin. by Israel,14,6,Venezuela,"10,220","6,407"
Western Sahara,-,,Vietnam,"149,659","260,741"
Zambia,37,102,Wallis and Futuna Islands,0,2
Zimbabwe,165,135,Yemen,143,"2,494"
,,,Palestine,10,155
,,,Zambia,283,"6,693"
,,,Zimbabwe,112,"3,809"
,,,Saint Helena,20,0
,,,Saint Kitts and Nevis,180,28
